Voltage V	Current I	Current I
(V)	(A)	(A)
-6.81877E-4	1.4317E-11	1.4317E-11
0.0192118	2.85745E-11	2.85745E-11
0.0390697	3.71456E-11	3.71456E-11
0.0592923	4.68373E-11	4.68373E-11
0.0791526	5.46813E-11	5.46813E-11
0.0993776	6.15478E-11	6.15478E-11
0.119238	6.97136E-11	6.97136E-11
0.139115	7.28726E-11	7.28726E-11
0.159354	8.35419E-11	8.35419E-11
0.179207	9.57727E-11	9.57727E-11
0.199382	1.01447E-10	1.01447E-10
0.219269	1.086E-10	1.086E-10
0.239143	1.16813E-10	1.16813E-10
0.259361	1.2939E-10	1.2939E-10
0.279219	1.42443E-10	1.42443E-10
0.299447	1.5161E-10	1.5161E-10
0.319295	1.67871E-10	1.67871E-10
0.339148	1.88887E-10	1.88887E-10
0.359333	2.19834E-10	2.19834E-10
0.379219	2.62499E-10	2.62499E-10
0.399406	3.28839E-10	3.28839E-10
0.419304	4.45354E-10	4.45354E-10
0.439162	6.31869E-10	6.31869E-10
0.459352	9.12237E-10	9.12237E-10
0.479245	1.3114E-9	1.3114E-9
0.499489	1.86342E-9	1.86342E-9
0.519338	2.59053E-9	2.59053E-9
0.539231	3.5955E-9	3.5955E-9
0.559447	4.9811E-9	4.9811E-9
0.57936	6.91063E-9	6.91063E-9
0.599482	9.56653E-9	9.56653E-9
0.61938	1.3163E-8	1.3163E-8
0.639241	1.804E-8	1.804E-8
0.659447	2.47788E-8	2.47788E-8
0.679297	3.39634E-8	3.39634E-8
0.699482	4.63788E-8	4.63788E-8
0.719364	6.3152E-8	6.3152E-8
0.739186	8.5107E-8	8.5107E-8
0.75948	1.42579E-7	1.42579E-7
0.779357	1.75331E-7	1.75331E-7
0.799539	2.35567E-7	2.35567E-7
0.819421	3.15254E-7	3.15254E-7
0.839283	4.22382E-7	4.22382E-7
0.859454	5.65762E-7	5.65762E-7
0.879321	7.54442E-7	7.54442E-7
0.899549	1.05017E-6	1.05017E-6
0.919449	1.38148E-6	1.38148E-6
0.939295	1.81785E-6	1.81785E-6
0.959487	2.39691E-6	2.39691E-6
0.979347	3.15345E-6	3.15345E-6
0.999541	4.13867E-6	4.13867E-6
1.01941	5.40458E-6	5.40458E-6
1.03928	7.02121E-6	7.02121E-6
1.05947	9.12137E-6	9.12137E-6
1.07934	1.23299E-5	1.23299E-5
1.09956	1.5798E-5	1.5798E-5
1.11947	2.01593E-5	2.01593E-5
1.13932	2.56173E-5	2.56173E-5
1.15954	3.25036E-5	3.25036E-5
1.17939	4.10178E-5	4.10178E-5
1.19959	5.1711E-5	5.1711E-5
1.21945	6.47503E-5	6.47503E-5
1.23934	8.0442E-5	8.0442E-5
1.25951	9.98315E-5	9.98315E-5
1.27943	1.28039E-4	1.28039E-4
1.29965	1.55239E-4	1.55239E-4
1.31948	1.87541E-4	1.87541E-4
1.33932	2.25724E-4	2.25724E-4
1.35957	2.70216E-4	2.70216E-4
1.3794	3.22324E-4	3.22324E-4
1.39961	3.83181E-4	3.83181E-4
1.4195	4.52282E-4	4.52282E-4
1.43933	5.30086E-4	5.30086E-4
1.45955	6.18373E-4	6.18373E-4
1.4794	7.17705E-4	7.17705E-4
1.49966	8.30523E-4	8.30523E-4
1.5195	9.56616E-4	9.56616E-4
1.53938	0.00113974	0.00113974
1.55959	0.0012886	0.0012886
